cazymes/files,MAG1,MAG10,MAG11,MAG12,MAG13,MAG14,MAG15,MAG16,MAG17,MAG18,MAG19,MAG2,MAG20,MAG21,MAG22,MAG23,MAG24,MAG25,MAG26,MAG27,MAG28,MAG29,MAG3,MAG30,MAG31,MAG32,MAG33,MAG34,MAG35,MAG36,MAG37,MAG38,MAG39,MAG4,MAG40,MAG41,MAG42,MAG43,MAG44,MAG45,MAG46,MAG47,MAG48,MAG49,MAG5,MAG50,MAG51,MAG52,MAG53,MAG54,MAG55,MAG56,MAG57,MAG58,MAG59,MAG6,MAG60,MAG61,MAG62,MAG63,MAG64,MAG65,MAG66,MAG67,MAG68,MAG69,MAG7,MAG70,MAG71,MAG72,MAG73,MAG74,MAG75,MAG76,MAG77,MAG78,MAG79,MAG8,MAG9,total
DOC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
GH1,0,1,0,2,7,4,0,0,0,0,1,1,2,1,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,4,0,18,15,137
GH2,2,1,1,2,0,1,1,0,2,0,0,0,6,10,6,4,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,5,7,1,7,5,4,2,5,5,5,11,4,6,6,11,1,7,2,0,8,5,0,0,1,1,1,0,2,1,1,2,2,2,1,1,2,0,3,0,3,0,180
GH3,1,0,6,2,2,1,0,0,1,0,0,0,11,8,7,8,0,0,2,17,3,0,0,0,0,2,1,1,1,1,0,0,0,4,8,6,4,8,4,2,5,11,4,7,1,5,1,3,1,1,4,3,6,1,4,0,2,7,7,4,5,3,1,1,1,1,1,1,1,1,0,0,0,5,1,2,0,1,1,214
GH4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,2,1,18
GH5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,12
GH5_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
GH5_2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,11
GH5_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
GH5_37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
GH5_38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GH5_4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,26
GH5_46,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
GH5_52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3
